x3,y3,x2,y2,x1,y1
0.4961,7.0504,0.4369,1.6771,0.634,1.6771
0.2548,13.6158,0.0786,4.8701,0.6863,4.8701
0.6317,11.8952,0.0565,8.7187,0.6791,8.7187
0.5511,11.2385,0.1747,6.5099,0.5836,6.5099
0.392,12.7051,0.1199,8.7359,0.6337,8.7359
0.6186,10.005,0.0594,6.8577,0.6235,6.8577
0.5756,8.8806,0.2598,6.5889,0.4722,6.5889
0.6062,10.9551,0.2072,2.9251,0.5052,2.9251
0.81,9.7309,0.2318,5.8162,0.5655,5.8162
0.424,8.7176,0.4874,5.2592,0.7769,5.2592
0.665,11.7536,0.2019,5.173,0.6591,5.173
0.5354,10.3784,0.2123,6.3756,0.5386,6.3756
0.6909,13.1216,0.3708,3.551,0.5977,3.551
0.653,11.1869,0.3313,8.0716,0.4921,8.0716
0.3171,8.0597,0.364,4.3176,0.5604,4.3176
0.4006,12.7928,0.3701,4.4236,0.6556,4.4236
0.7422,10.8821,0.1394,4.4496,0.766,4.4496
0.6146,11.7796,0.4751,5.0312,0.6518,5.0312
0.4477,9.829,0.6058,2.3805,0.6876,2.3805
0.5584,9.5705,0.4382,4.1921,0.7397,4.1921
0.6656,12.0821,0.133,7.0315,0.4978,7.0315
0.7756,11.119,0.5258,3.6877,0.6849,3.6877
0.5846,11.424,0.2047,5.5213,0.5212,5.5213
0.6936,10.9875,0.4824,3.7313,0.7344,3.7313
0.6544,10.8882,0.0734,6.7721,0.528,6.7721
0.7715,6.1785,0.4011,7.4386,0.6506,7.4386
0.5144,9.5417,0.6606,3.7792,0.7524,3.7792
0.7035,9.2515,0.6657,2.7116,0.7329,2.7116
0.7326,10.2213,0.0629,9.2012,0.5381,9.2012
0.6785,10.5142,0.2167,6.3633,0.4674,6.3633
0.5469,10.7534,0.1423,0.0,0.4455,0.0
0.5121,8.0712,0.3162,5.8566,0.5547,5.8566
0.6442,11.1176,0.0457,6.9929,0.6054,6.9929
0.5882,10.8076,0.1148,5.9551,0.587,5.9551
0.4173,8.095,0.0618,4.6977,0.7522,4.6977
0.5959,13.4881,0.4093,1.696,0.7029,1.696
0.5458,10.3992,0.4402,6.1132,0.601,6.1132
