x1	y1	assignments1_expression	assignments1_methylation
0.634	1.6771	0.0	0.0
0.6863	4.8701	0.0	0.0
0.6791	8.7187	0.0	0.0
0.5836	6.5099	0.0	0.0
0.6337	8.7359	0.0	0.0
0.6235	6.8577	0.0	0.0
0.4722	6.5889	0.0	0.0
0.5052	2.9251	0.0	0.0
0.5655	5.8162	0.0	0.0
0.7769	5.2592	0.0	0.0
0.6591	5.173	0.0	0.0
0.5386	6.3756	0.0	0.0
0.5977	3.551	0.0	0.0
0.4921	8.0716	0.0	0.0
0.5604	4.3176	0.0	0.0
0.6556	4.4236	0.0	0.0
0.766	4.4496	0.0	0.0
0.6518	5.0312	0.0	0.0
0.6876	2.3805	0.0	0.0
0.7397	4.1921	0.0	0.0
0.4978	7.0315	0.0	0.0
0.6849	3.6877	0.0	0.0
0.5212	5.5213	0.0	0.0
0.7344	3.7313	0.0	0.0
0.528	6.7721	0.0	0.0
0.6506	7.4386	0.0	0.0
0.7524	3.7792	0.0	0.0
0.7329	2.7116	0.0	0.0
0.5381	9.2012	0.0	0.0
0.4674	6.3633	0.0	0.0
0.4455	0.0	0.0	0.0
0.5547	5.8566	0.0	0.0
0.6054	6.9929	0.0	0.0
0.587	5.9551	0.0	0.0
0.7522	4.6977	0.0	0.0
0.7029	1.696	0.0	0.0
0.601	6.1132	0.0	0.0
0.6246	4.4387	0.0	0.0
0.6458	4.6662	0.0	0.0
0.5858	5.0332	0.0	0.0
0.729	4.5489	0.0	0.0
0.6573	0.9595	0.0	0.0
0.6387	5.149	0.0	0.0
0.7063	5.2104	0.0	0.0
0.6637	6.1839	0.0	0.0
0.4754	4.9633	0.0	0.0
0.7336	5.304	0.0	0.0
0.6523	7.1473	0.0	0.0
0.7455	4.0332	0.0	0.0
0.5018	8.2966	0.0	0.0
0.9704	6.8013	0.0	0.0
0.6775	1.0267	0.0	0.0
0.5861	2.623	0.0	0.0
0.6923	3.2225	0.0	0.0
0.5415	3.9307	0.0	0.0
0.6999	5.9151	0.0	0.0
0.557	5.9624	0.0	0.0
0.5429	5.3915	0.0	0.0
0.6574	3.1738	0.0	0.0
