FLUXNETID,IGBP,Koeppen-Geiger,Startyear,Endyear
AT-Neu,GRA,Dfb,2002,2012
AU-ASM,ENF,BSh,2010,2014
AU-Cpr,SAV,Csa,2010,2014
AU-DaP,GRA,Aw,2007,2013
AU-DaS,SAV,Aw,2008,2014
AU-Dry,SAV,BSk,2008,2014
AU-How,WSA,Aw,2001,2014
AU-Stp,GRA,Aw,2008,2014
AU-Tum,EBF,Cfb,2001,2014
AU-Wom,EBF,Cfb,2010,2014
BE-Bra,MF,Cfb,1996,2014
BE-Lon,CRO,BSk,2004,2014
BE-Vie,MF,Cfb,1996,2014
BR-Sa3,EBF,Af,2000,2004
CA-Mer,WET,Dwb,1998,2005
CA-NS1,ENF,BWk,2001,2005
CA-NS2,ENF,BWk,2001,2005
CA-NS3,ENF,BWk,2001,2005
CA-NS5,ENF,BSk,2001,2005
CA-NS6,OSH,BSk,2001,2005
CA-Qcu,ENF,Dwb,2001,2006
CA-Qfo,ENF,Dfb,2003,2010
CA-SF2,ENF,BSk,2001,2005
CA-SF3,OSH,Dwc,2001,2006
CH-Cha,GRA,Cfb,2005,2014
CH-Dav,ENF,Dfc,1997,2014
CH-Fru,GRA,Dfb,2005,2014
CH-Lae,MF,BWk,2004,2014
CH-Oe1,GRA,Cfb,2002,2008
CH-Oe2,CRO,BSk,2004,2014
CZ-BK1,ENF,Dwb,2004,2014
CZ-BK2,GRA,Dfb,2004,2012
CZ-wet,WET,Dfb,2006,2014
DE-Akm,WET,BWk,2009,2014
DE-Geb,CRO,Cfb,2001,2014
DE-Gri,GRA,Dfb,2004,2014
DE-Hai,DBF,Cfb,2000,2012
DE-Kli,CRO,Dfb,2004,2014
DE-Lkb,ENF,Dwb,2009,2013
DE-Obe,ENF,Dfb,2008,2014
DE-Spw,WET,BWk,2010,2014
DE-Tha,ENF,Dfb,1996,2014
DE-Wet,ENF,Dfb,2002,2006
DK-NuF,WET,Dfc,2008,2014
DK-Sor,DBF,Cfb,1996,2014
DK-ZaH,GRA,ET,2000,2014
ES-ES1,ENF,BSk,1999,2006
FI-Hyy,ENF,Dfb,1996,2014
FI-Kaa,WET,Dfc,2000,2006
FI-Sod,ENF,BSk,2001,2014
FR-Fon,DBF,Cfb,2005,2014
FR-Gri,CRO,Cfb,2004,2014
FR-Hes,DBF,Cfb,1997,2006
FR-LBr,ENF,Cfb,1996,2008
FR-Pue,EBF,Csa,2000,2014
GF-Guy,EBF,Am,2004,2014
HU-Bug,GRA,Dfb,2002,2006
IL-Yat,ENF,BWh,2001,2006
IT-Amp,GRA,Dsb,2002,2006
IT-BCi,CRO,Csa,2004,2014
IT-Col,DBF,Dsb,1996,2014
IT-Cpz,EBF,Csa,1997,2009
IT-Lav,ENF,Dwb,2003,2014
IT-MBo,GRA,Dfb,2003,2013
IT-Noe,CSH,BSk,2004,2014
IT-Non,DBF,Cfa,2001,2006
IT-Ren,ENF,BSk,1998,2013
IT-Ro1,DBF,Csa,2000,2008
IT-Ro2,DBF,Csa,2002,2012
IT-SRo,ENF,BSk,1999,2012
IT-Tor,GRA,BSk,2008,2014
JP-SMF,MF,Cfa,2002,2006
NL-Hor,GRA,Csb,2004,2011
NL-Loo,ENF,Cfb,1996,2014
PT-Esp,EBF,Csa,2002,2006
RU-Cok,OSH,Dwd,2003,2014
RU-Fyo,ENF,Dwb,1998,2014
SD-Dem,SAV,BWh,2005,2009
SE-Deg,WET,Dwc,2001,2005
SE-Fla,ENF,Dwc,1996,2002
SE-Nor,EBF,BSk,1996,2005
UK-Gri,ENF,Csb,1997,2006
US-ARM,CRO,Csa,2003,2012
US-Aud,GRA,BSk,2002,2006
US-Blo,ENF,Csb,1997,2007
US-Bo1,CRO,Dfa,1996,2007
US-Cop,GRA,BWk,2001,2007
US-FPe,GRA,BSk,2000,2006
US-GBT,ENF,BWk,1999,2006
US-GLE,ENF,Dsc,2004,2014
US-Ha1,DBF,Dfb,1991,2012
US-Ho1,ENF,Dfb,1996,2004
US-Los,WET,Dfb,2000,2014
US-MMS,DBF,Dfa,1999,2014
US-Me2,ENF,Dsb,2002,2014
US-Me6,ENF,BSk,2010,2014
US-Myb,WET,Csb,2010,2014
US-NR1,ENF,Dfc,1998,2014
US-Ne1,CRO,Dwa,2001,2013
US-Ne2,CRO,Dwa,2001,2013
US-Ne3,CRO,Dwa,2001,2013
US-PFa,MF,Dwb,1995,2014
US-Prr,ENF,Dwc,2010,2014
US-SP1,ENF,BWh,2000,2005
US-SP2,ENF,Csa,1998,2004
US-SP3,ENF,Csa,1999,2004
US-SRG,GRA,BSh,2008,2014
US-SRM,WSA,BSh,2004,2014
US-Syv,MF,Dfb,2001,2014
US-Ton,WSA,Csa,2001,2014
US-Twt,CRO,Csb,2009,2014
US-UMB,DBF,Dfb,2000,2014
US-UMd,DBF,BWk,2007,2014
US-Var,GRA,Csa,2000,2014
US-WCr,DBF,Dfb,1999,2014
US-Whs,OSH,BWk,2007,2014
US-Wkg,GRA,BWk,2004,2014
ZA-Kru,SAV,BSh,2000,2013
ZM-Mon,DBF,Aw,2000,2009
