id,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude_station,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,clay,sand,mineral_bulk_density,altitude_basin,forest,impervious,pervious,slope
6112080,6,6121,"TAMEGA, RIO",PONTE DE CANAVEZES,PT,41.2,-8.17,3180.0,180.0,1955.0,1987.0,33.0,0.0,1976.0,1984.0,9.0,0.0,1955,1987,33,"70,98",2.23842528,703.9073208,0.24789453085474844,0.477327632212164,0.013343725442302404,622.873080959792,0.4804690655280451,0.0120663702050945,0.5074645642668603,12.248583452139773
6114500,6,6140,"MONDEGO, RIO",PONTE DE IONCAIS,PT,40.61,-7.52,606.0,330.0,1949.0,1990.0,42.0,1.555926544,1980.0,1984.0,5.0,0.0,1949,1990,42,"8,626",0.272029536,448.8936238,0.24495330078308641,0.5058606316807177,0.013422575972568018,711.8964648642404,0.2972667976915789,0.004908849340879,0.6978243529675419,11.63721748417021
6115500,6,6150,"SADO, RIO",M.DA GAMITINHA,PT,38.07,-8.4,2721.0,28.0,1940.0,1990.0,51.0,7.634131638,1976.0,1984.0,9.0,0.0,1940,1990,51,"7,653",0.241345008,88.6971731,0.30410250746933937,0.4116418686299573,0.013046269680761655,136.0078183495023,0.0115296861430243,0.0066063109857413,0.9818640028712344,2.1220771474600504
6123150,6,6231,OGNON,LES SORINIERES (VILLENEUVE),FR,47.120666,-1.532751,147.0,55.95,1964.0,2012.0,49.0,2.829155863,,,,,1964,2012,49,"1,142",0.036014112,244.9939592,0.2433655206489812,0.3769846572803876,0.013082975057266884,,0.004645048555108,0.0315276316823242,0.9638273197625676,1.4557867664097792
6123700,6,6231,DRAGNE,VANDENESSE,FR,46.909982,3.763084,115.0,260.29,1968.0,2012.0,45.0,0.012325897,1968.0,1990.0,23.0,0.0,1968,2012,45,"1,83",0.05771088,501.8337391,0.2386234239518863,0.38763616917922183,0.013188056134298288,399.59877707900256,0.3976636154893038,0.0,0.6023363845106958,8.022734327053506
6125440,6,6251,VOLP,MONTBERAUD (STE-CROIX-VOLVESTRE),FR,43.14379,1.141343,91.0,334.72,1968.0,2012.0,45.0,0.160295931,1968.0,1991.0,24.0,0.0,1968,2012,45,"0,995",0.03137832,344.8167033,0.3069620971624341,0.32840507589476203,0.014134253185411942,486.2711762234305,0.4838209774309184,0.0,0.5161790225690814,9.653767666945011
6125540,6,6251,DADOU,PAULINET (ST-JEAN-DE-JEANNE),FR,43.821228,2.440124,72.0,470.77,1968.0,2012.0,45.0,3.154337214,1968.0,1991.0,24.0,1.071428571,1968,2012,45,"1,47",0.04635792,643.86,,,,,,,,
6128100,6,6280,AUDE,CARCASSONNE (PONT NEUF),FR,43.213297,2.360133,1770.0,155.1,1963.0,2012.0,50.0,0.471698113,1978.0,1980.0,3.0,0.0,1963,2012,50,"42,551",1.341888336,758.1290034,0.2715375872685621,0.3696520734965743,0.013641844017969987,770.0042704246049,0.5735013387036105,0.0015675300180978,0.4249311312782917,15.754800223957329
6139220,6,6391,ROUBION,SOYANS,FR,44.624259,5.014738,186.0,317.22,1965.0,2012.0,48.0,2.640987199,1965.0,1991.0,27.0,0.0,1965,2012,48,"1,867",0.058877712,316.5468387,0.2812674150791618,0.36286247725362963,0.013771490298947335,666.4217762980239,0.3150341677961428,0.0001767997705649,0.6847890324332923,20.98111305274771
6139230,6,6391,JABRON,SOUSPIERRE,FR,44.529941,4.966871,85.0,298.45,1965.0,2010.0,46.0,1.105835687,1967.0,1991.0,25.0,0.0,1965,2010,46,"0,798",0.025165728,296.0673882,0.3099972849941562,0.3463441879270053,0.013819716060647625,513.8566753934784,0.4179231678023182,0.0,0.5820768321976816,17.013815258350352
6139240,6,6391,GLUEYRE,GLUIRAS (TISONECHE),FR,44.828658,4.517764,71.0,464.38,1953.0,2012.0,60.0,0.603686636,1960.0,1991.0,32.0,0.0,1953,2012,60,"2,093",0.066004848,929.6457465,,,,,,,,
6139360,6,6391,AZERGUES,CHATILLON,FR,45.873299,4.642701,336.0,257.25,1970.0,2012.0,43.0,1.56612529,1970.0,1991.0,22.0,3.787878788,1970,2012,43,"4,057",0.127941552,380.7784286,0.2267676483289297,0.40641344758399806,0.012957099513694137,528.3265668034376,0.458159627103037,0.0,0.5418403728969633,12.85707612808602
6139640,6,6391,REYSSOUZE,MONTAGNAT,FR,46.170688,5.289284,84.4,286.99,1967.0,2012.0,46.0,0.0,1967.0,1992.0,26.0,0.0,1967,2012,46,"0,541",0.017060976,202.1442654,0.25428911553704614,0.3367071272416689,0.013059985264741432,276.53047701804525,0.2904516446493551,0.0007916309286889,0.7087567244219561,2.673955671643053
6140250,6,6401,BEROUNKA,BEROUN,CZ,49.9586,14.0874,8286.2,213.41,1911.0,2018.0,108.0,27.9922336,1980.0,2000.0,21.0,0.0,1911,2018,108,"35,628",1.123564608,135.5946765,0.19231800356234882,0.418145885494761,0.012142062758327127,495.6227819907939,0.4488634245965655,0.0068301969572768,0.5443063784461579,5.376565809665332
6140300,6,6401,OTAVA,PISEK,CZ,49.3165,14.1435,2913.7,353.88,1911.0,2018.0,108.0,0.0,1975.0,1989.0,15.0,0.0,1911,2018,108,"23,388",0.737563968,253.1365508,0.17767263755742596,0.4491190086750285,0.012075376657776976,646.4657868596296,0.5130483175955989,0.0032322363214917,0.4837194460829094,6.841146934471491
6140450,6,6401,SAZAVA,ZRUC NAD SAZAVOU,CZ,49.7409,15.1012,1420.6,323.13,1942.0,2020.0,79.0,0.0,1975.0,1989.0,15.0,0.0,1942,2020,79,"9,175",0.2893428,203.6764747,0.18189057916748883,0.41699052368094286,0.011866914404028216,528.7140416597076,0.3255760472441409,0.0066308613520607,0.6677930914037983,4.134882922262983
6140480,6,6401,JIZERA,TURICE,CZ,50.2443,14.7735,2158.3,174.02,1910.0,2012.0,103.0,7.993675805,1980.0,1984.0,5.0,0.0,1910,2012,103,"24,743",0.780295248,361.5323393,0.19334417824008376,0.3866695097482844,0.012068774972852327,444.4473381631065,0.489981473168353,0.0059335940273794,0.5040849328042676,6.727693002431296
6140500,6,6401,JIZERA,ZELEZNY BROD,CZ,50.6399,15.2744,791.2,275.6,1911.0,2018.0,108.0,0.0,1975.0,1989.0,15.0,0.0,1911,2018,108,"16,877",0.532233072,672.6909403,0.1588246913870541,0.4228651608563898,0.011396138714098619,651.8490854001792,0.6462441997110624,0.0030152183145778,0.3507405819743595,10.200193012900147
6140600,6,6401,LOUCNA,DASICE,CZ,50.0367,15.9067,625.4,222.44,1910.0,2018.0,109.0,0.0,1910.0,1990.0,81.0,0.0,1910,2018,109,"3,724",0.117440064,187.7839207,0.24205815097102834,0.29510439536616845,0.01307199245554733,398.7958971876629,0.1933201797405705,0.0049591810441659,0.8017206392152634,2.8619367502420063
6140700,6,6401,DIVOKA ORLICE,NEKOR,CZ,50.0651,16.5404,182.4,431.19,1906.0,2018.0,113.0,0.0,1906.0,2000.0,95.0,0.17699115,1906,2018,113,"3,713",0.117093168,641.9581579,0.15136644849946368,0.4566820413204951,0.011499152066520897,706.9493597653019,0.711650386312229,0.0,0.2883496136877711,7.91784505868914
6142120,6,6421,MORAVA,STRAZNICE,CZ,48.9331,17.2974,9144.8,163.28,1920.0,2018.0,99.0,0.0,1991.0,2000.0,10.0,0.0,1920,2018,99,"57,911",1.826281296,199.707079,0.2174771450645132,0.34245034963676196,0.012458096350271368,406.6514774584803,0.4210843595702658,0.0140914349593886,0.5648242054703455,6.718495964205096
6142300,6,6421,BECVA,TEPLICE,CZ,49.53,17.746,1275.3,243.11,1920.0,2018.0,99.0,7.131501883,1975.0,1989.0,15.0,0.0,1920,2018,99,"15,074",0.475373664,372.7543825,0.19646558841815065,0.3728873514988302,0.011966534595190427,524.7392767780502,0.7100122605478306,0.0079923208820441,0.2819954185701251,11.281796814469518
6142520,6,6421,NITRA,NITRIANSKA STREDA,SK,48.52429,18.1726,2094.0,158.0,1930.0,2017.0,88.0,0.0,1980.0,1984.0,5.0,0.0,1930,2017,88,"14,554",0.458974944,219.1857421,0.24400023382743063,0.33822354790934533,0.012930406178783691,423.16206003177206,0.4739387313031498,0.0061689920549921,0.5198922766418582,10.070954946991248
6142551,6,6421,KYSUCA,KYSUCKE NOVE MESTO,SK,49.29725,18.78592,955.0,346.0,1931.0,2017.0,87.0,0.0,,,,,1931,2017,87,"16,212",0.511261632,535.3524942,0.17810431843665436,0.40652413946003924,0.011691983204237937,655.4721611590185,0.8587704005485568,0.0041190594096189,0.1371105400418243,14.364641728586808
6142600,6,6421,IPOLY,IPELSKY SOKOLEC,SK,48.04,18.82,4838.0,115.0,1930.0,1992.0,63.0,0.0,1931.0,1970.0,40.0,0.0,1930,1992,63,"19,57",0.61715952,127.5650103,0.2521349385248892,0.3702119972932728,0.013243340245922886,326.012746556282,0.4587476663373285,0.002366882756398,0.5388854509062734,7.160785074145196
6142601,6,6421,IPOLY,HOLISA,SK,48.29766,19.7416,686.0,172.0,1931.0,2017.0,87.0,0.0,,,,,1931,2017,87,"3,048",0.096121728,140.119137,0.2367929639976612,0.381523293286101,0.013099423424168538,376.8153447095719,0.4368544125437658,0.0028663073566768,0.5602792800995574,8.666636336098497
6142640,6,6421,TURIEC,MARTIN,SK,49.0704,18.91268,827.0,390.0,1931.0,2017.0,87.0,0.0,,,,,1931,2017,87,"10,201",0.321698736,388.994844,0.1979568830498191,0.3864757046221352,0.0120001863973885,716.5589553713312,0.662484087331228,0.0034497689250499,0.334066143743722,13.849627443855356
6142650,6,6421,HRON,BANSKA BYSTRICA,SK,48.73,19.13,1766.0,334.0,1930.0,2008.0,79.0,0.0,1980.0,1984.0,5.0,0.0,1930,2008,79,"25,964",0.818800704,463.6470578,0.17351129511045446,0.4400081837525296,0.011898349912444272,844.4091001643852,0.7713144571046875,0.0045967493619186,0.224088793533394,18.31894657262257
6142660,6,6421,HRON,BREHY,SK,48.40703,18.64649,3821.0,195.0,1930.0,2017.0,88.0,0.0,1931.0,1970.0,40.0,0.0,1930,2017,88,"46,403",1.463365008,382.9795886,0.19306610212935107,0.4046561547747054,0.012062595436346102,694.7086262411812,0.6428033858085963,0.0051297204544337,0.3520668937369699,15.012058259852711
6142680,6,6421,VAH,LIPTOVSKY MIKULAS,SK,49.08701,19.60301,1107.0,568.0,1920.0,2017.0,98.0,0.0,1920.0,1990.0,71.0,0.0,1920,2017,98,"20,497",0.646393392,583.9145366,0.15306882933387683,0.470332218632798,0.011733069580010119,1092.6834943166325,0.7338202214573599,0.0059557385030112,0.2602240400396288,19.60106102072705
6144100,6,6441,SAJO,LENARTOVCE,SK,48.3043,20.3142,1830.0,150.0,1930.0,2017.0,88.0,0.0,,,,,1930,2017,88,"13,714",0.432484704,236.3304393,0.22711788809706346,0.38816400215740976,0.012806832621542131,503.1599013660244,0.6383116597802273,0.0025239930164298,0.3591643472033429,13.449277556346464
6144150,6,6441,BODVAJ,TURNA NAD BODVOU,SK,48.59338,20.89307,663.0,171.0,1941.0,2017.0,77.0,19.48158157,,,,,1941,2017,77,"2,848",0.089814528,135.4668597,0.24896679021233437,0.3531203281127129,0.013077516913367632,380.75219299550304,0.3759568980286306,0.0120717006131871,0.6119714013581822,8.072096065892682
6144300,6,6441,HORNAD,ZDANA,SK,48.6027,21.33957,4232.0,167.0,1958.0,2017.0,60.0,0.0,,,,,1958,2017,60,"29,176",0.920094336,217.4135955,0.20717651359025324,0.37213817769593244,0.012195113791441684,582.6072501565304,0.5712019872935217,0.0092858241300606,0.4195121885764176,12.25521402723567
6144350,6,6441,TORYSA,KOSICKE OLSANY,SK,48.7326,21.33654,1298.0,186.0,1930.0,2017.0,88.0,0.0,,,,,1930,2017,88,"7,783",0.245444688,189.0945208,0.21676486528668115,0.34268127215613403,0.012276748742443866,510.39970479255686,0.4182073422975538,0.0063638219271004,0.5754288357753455,10.145978055578558
6144400,6,6441,TOPLA,HANUSOVCE,SK,49.033333,21.5,1050.0,-999.0,1930.0,2008.0,79.0,0.0,1930.0,1990.0,61.0,0.0,1930,2008,79,"8,15",0.2570184,244.7794286,0.2064700620679906,0.3500756332024529,0.011981793656889516,441.3646229155091,0.4783311959553717,0.0014893983727996,0.5201794056718285,10.792542422298531
6157100,6,6571,ODER RIVER,BOHUMIN,CZ,49.9212,18.3281,4663.7,192.596,1919.0,2018.0,100.0,0.0,1920.0,2000.0,81.0,0.0,1919,2018,100,"42,541",1.341572976,287.6627948,0.19721848108099682,0.3592254248300476,0.012148903126480115,467.4954349975635,0.4450154282618246,0.0262870111415232,0.5286975605966518,6.676317464036019
6158100,6,6581,POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,1930.0,2017.0,88.0,0.0,,,,,1930,2017,88,"15,524",0.489564864,387.9277845,0.18299360185495486,0.40497283262256056,0.011846353700389506,869.2155522039718,0.4875564952599306,0.0056307738451938,0.5068127308948756,11.416624928408435
6220500,6,6201,DYLE,SINT-JORIS-WEERT,BE,50.802899,4.642501,645.0,27.0,1973.0,2015.0,43.0,4.037226373,1978.0,1983.0,6.0,0.0,1973,2015,43,"4,926",0.155346336,240.8470326,0.16630138922905993,0.24362719841546412,0.013129165075433356,112.541995199985,0.2442555190708583,0.014403063383021,0.7413414175461206,2.449570598260878
6229100,6,6290,ENNINGDALSELVA,VASSBOTTEN,SE,58.8771,11.5368,624.1,39.0,1914.0,2021.0,108.0,0.926210214,1914.0,2018.0,105.0,1.031746032,1914,2021,108,"10,879",0.343080144,549.719827,0.10372231020019829,0.57632484170524,0.01191847023266848,141.60010038461505,0.8987690778606969,0.0,0.1012309221393027,2.9947955642886925
6233100,6,6330,VISKAN,ASBRO 3,SE,57.2397,12.3088,2160.2,2.0,1909.0,2021.0,113.0,0.068361044,1927.0,2018.0,92.0,0.0,1909,2021,113,"35,703",1.125929808,521.2155393,0.09717030029614576,0.5913048410518544,0.011959244487487142,152.36932818914107,0.914781675450958,0.0040720024422208,0.0811463221068211,3.486919513126132
6233150,6,6330,FYLLEAN,SIMLANGEN,SE,56.7157,13.1244,259.7,65.0,1927.0,2021.0,95.0,0.005807538,1951.0,2018.0,68.0,0.620347395,1927,2021,95,"5,576",0.175844736,677.1071852,0.0828427764778397,0.6320821389535363,0.012199880910288738,164.24914218644696,0.9394807977238956,0.0,0.0605192022761046,2.245267160114391
6233220,6,6330,TANNAN,TAENNDALEN,SE,62.5211,12.3812,226.6,-999.0,1928.0,2019.0,92.0,0.003036376,,,,,1928,2019,92,"5,04",0.15894144,701.4185349,0.10729034021384791,0.5305104094298931,0.011009133051543918,928.3783707996704,0.183911753677975,0.0004460705274515,0.8156421757945733,5.414633887716136
6233250,6,6330,HELGE A,TORSEBRO KRV (POWERSTATION),SE,56.103036,14.129361,3664.5,11.0,1908.0,2021.0,114.0,0.0,1908.0,2018.0,111.0,0.0,1908,2021,114,"36,034",1.136368224,310.1018485,0.11332071931326392,0.6459535083613465,0.013333356526179957,123.8586294372902,0.8346389235003623,0.0027665095272021,0.1625945669724355,1.6242033063547467
6233300,6,6334,MOSSAN,VELEN 2,SE,58.713,14.3149,45.0,120.0,1937.0,2021.0,85.0,0.003286123,1956.0,2017.0,62.0,0.0,1937,2021,85,"0,384",0.012109824,269.1072,0.10312309745501336,0.5850526294521813,0.011964260189887782,143.71013718321868,0.902838804319441,0.0,0.097161195680559,1.5868487834006837
6233350,6,6330,ALSTERAN,GETEBRO,SE,56.9996,16.1639,1332.7,60.0,1920.0,2021.0,102.0,7.895164788,1920.0,2018.0,99.0,11.36363636,1920,2021,102,"9,933",0.313247088,235.0469633,0.10248791884823528,0.5951936413474287,0.012124948716542483,184.63732171038143,0.934038258291302,0.0,0.0659617417086979,1.5505083503495332
6233360,6,6330,EMAN,EMSFORS BRUK,SE,57.1431,16.4513,4440.9,-999.0,1954.0,2021.0,68.0,0.0,,,,,1954,2021,68,"29,17",0.91990512,207.1438492,0.11208648235204033,0.5793410975802809,0.012132762482269547,195.2841951332384,0.9180409100487849,0.0016267872032767,0.0803323027479385,2.456552180440412
6233400,6,6330,FYRAN,FYRAS,SE,63.4719,15.4369,2428.4,299.0,1923.0,2021.0,99.0,0.002803712,1972.0,2019.0,48.0,0.0,1923,2021,99,"32,678",1.030533408,424.367241,0.10277896221187952,0.5274456836744256,0.010775928664239756,429.1946828582514,0.8397610137210232,0.0,0.1602389862789767,2.4297322941289305
6233450,6,6331,ANKARVATTNET,ANKARVATTNET,SE,64.8361,14.2388,427.8,448.0,1944.0,2021.0,78.0,0.0,1944.0,2019.0,76.0,0.0,1944,2021,78,"17,502",0.551943072,1290.189509,0.08523194925048751,0.564789277215098,0.01108103837441096,791.8629693845311,0.145340040969061,0.0,0.8546599590309392,10.429486398750017
